ticker  name    index   price   market_cap
SMDS	DS Smith	FTSE 100	309.00	4,256.3
CTEC	ConvaTec Group	FTSE 100	206.00	4,210.4
IMI	IMI	FTSE 250	1,614.00	4,209.4
BEZ Beazley	FTSE 100	612.50	4,111.1
ABDN	abrdn	FTSE 100	204.70	4,097.9
HSX	Hiscox Ltd	FTSE 100	1,182.00	4,096.2
TW.	Taylor Wimpey	FTSE 100	115.60	4,083.0
ICP	Intermediate Capital Group	FTSE 250	1,401.00	4,071.3
DPLM	Diploma	FTSE 250	3,008.00	4,031.6
HIK	Hikma Pharmaceuticals	FTSE 250	1,798.00	3,960.3
PSN	Persimmon	FTSE 100	1,215.50	3,881.4
SXS	Spectris	FTSE 250	3,698.00	3,868.3
HL.	Hargreaves Lansdown	FTSE 100	814.60	3,863.8
DPH	Dechra Pharmaceuticals	FTSE 250	3,352.00	3,816.2
RS1	RS Group	FTSE 100	799.80	3,781.1
HWDN	Howden Joinery Group	FTSE 250	667.40	3,699.0
MDC	Mediclinic International		501.00	3,693.6
EZJ	easyJet	FTSE 250	477.50	3,619.5
UTG	UNITE Group	FTSE 100	893.50	3,576.6
MKS	Marks & Spencer Group	FTSE 250	181.10	3,558.4
UKW	Greencoat UK Wind	FTSE 250	148.10	3,433.3
FRAS	Frasers Group	FTSE 100	690.00	3,256.2
OCDO	Ocado Group	FTSE 100	391.90	3,238.7
JMAT	Johnson Matthey	FTSE 100	1,741.50	3,194.8
INCH	Inchcape	FTSE 250	772.00	3,188.4
BLND	British Land Co	FTSE 100	343.40	3,183.5
TATE	Tate & Lyle	FTSE 250	781.50	3,138.6
GAW	Games Workshop Group	FTSE 250	9,410.00	3,097.1
TRIG	The Renewables Infrastructure Group Ltd	FTSE 250	119.40	2,964.5
WIZZ	Wizz Air Holding	FTSE 250	2,852.00	2,945.4
HICL	HICL Infrastructure	FTSE 250	144.20	2,929.4
ATST	Alliance Trust	FTSE 250	1,002.00	2,918.3
3IN	3i Infrastructure Ltd	FTSE 250	314.00	2,896.2
RCP	RIT Capital Partners	FTSE 250	1,852.00	2,863.8
ITV	ITV	FTSE 250	71.08	2,861.3
JET	Just Eat Takeaway.Com NV		1,292.00	2,842.0
RSW	Renishaw	FTSE 250	3,904.00	2,841.7
PCT	Polar Capital Technology Trust	FTSE 250	2,225.00	2,825.0
IGG	IG Group Holdings	FTSE 250	684.00	2,820.3
BWY	Bellway	FTSE 250	2,276.00	2,810.6
ROR	Rotork	FTSE 250	319.20	2,747.8
EMG	Man Group	FTSE 250	223.20	2,727.5
GRG	Greggs	FTSE 250	2,668.00	2,724.6
SCT	Softcat	FTSE 250	1,351.00	2,695.6
CCC	Computacenter	FTSE 250	2,342.00	2,673.2
INPP	International Public Partnership Ltd	FTSE 250	139.60	2,668.1
INVP	Investec	FTSE 250	406.10	2,654.3
TUI	TUI AG	FTSE 250	519.00	2,633.5
BBOX	Tritax Big Box REIT	FTSE 250	139.00	2,597.7
JET2	Jet2	FTSE AIM	1,202.00	2,580.5
VTY	Vistry Group	FTSE 250	743.50	2,570.4
DLN	Derwent London	FTSE 250	2,154.00	2,418.7
SSON	Smithson Investment Trust	FTSE 250	1,416.00	2,397.4
DRX	Drax Group	FTSE 250	589.80	2,365.6
BUR	Burford Capital Ltd	FTSE AIM	1,072.00	2,364.7
SHC	Shaftesbury Capital	FTSE 250	118.90	2,322.3
KOS	Kosmos Energy Ltd		505.00	2,320.9
MNKS	Monks Investment Trust	FTSE 250	985.00	2,298.8
BVIC	Britvic	FTSE 250	885.00	2,285.8
DNLM	Dunelm Group	FTSE 250	1,112.00	2,242.2
DLG	Direct Line Insurance Group	FTSE 250	168.95	2,215.6
ONT	Oxford Nanopore Technologies		261.20	2,157.8
OSB	OSB Group	FTSE 250	498.80	2,145.7
BBY	Balfour Beatty	FTSE 250	369.80	2,119.6
SSPG	SSP Group	FTSE 250	264.40	2,105.3
BYG	Big Yellow Group	FTSE 250	1,132.00	2,085.9
QQ.	QinetiQ Group	FTSE 250	360.00	2,083.5
VMUK	Virgin Money UK	FTSE 250	150.50	2,054.4
PNN	Pennon Group	FTSE 250	779.50	2,036.9
SAFE	Safestore Holdings	FTSE 250	927.50	2,017.9
WWH	Worldwide Healthcare Trust	FTSE 250	3,190.00	2,007.0
SMWH	WH Smith	FTSE 250	1,528.00	2,000.3
INDV	Indivior	FTSE 250	1,461.00	1,991.6
NETW	Network International Holdings	FTSE 250	366.40	1,975.6
CTY	City of London Investment Trust	FTSE 250	403.50	1,969.2
ENOG	Energean	FTSE 250	1,098.00	1,954.9
TPK	Travis Perkins	FTSE 250	902.00	1,916.8
IDS	International Distributions Services	FTSE 250	199.05	1,903.3
HBR	Harbour Energy	FTSE 250	226.70	1,891.5
DARK	Darktrace	FTSE 250	265.60	1,891.2
DWL	Dowlais Group	FTSE 250	134.90	1,879.5
ROO	Deliveroo Holdings		106.40	1,867.8
CLDN	Caledonia Investments	FTSE 250	3,400.00	1,858.6
FGT	Finsbury Growth & Income Trust	FTSE 250	886.00	1,850.1
PNL	Personal Assets Trust	FTSE 250	471.50	1,848.0
PTEC	Playtech	FTSE 250	602.50	1,845.8
GRI	Grainger	FTSE 250	247.20	1,833.1
HGT	HgCapital Trust	FTSE 250	400.00	1,830.9
PETS	Pets at Home Group	FTSE 250	376.40	1,818.8
AML	Aston Martin Lagonda Global Holdings	FTSE 250	259.20	1,811.2
GFTU	Grafton Group	FTSE 250	825.60	1,806.6
BPT	Bridgepoint Group	FTSE 250	218.40	1,789.5
JGGI	JPMorgan Global Growth & Income	FTSE 250	460.50	1,765.5
HAS	Hays	FTSE 250	109.90	1,754.0
CWK	Cranswick	FTSE 250	3,226.00	1,729.5
HVPE	Harbourvest Global Private Equity Ltd	FTSE 250	2,175.00	1,720.5
LMP	Londonmetric Property	FTSE 250	174.60	1,715.7
HCM	Hutchmed (China) Ltd	FTSE AIM	198.00	1,714.9
PHLL	Petershill Partners	FTSE 250	149.60	1,698.6
LXI	LXI REIT	FTSE 250	98.80	1,693.9
SRP	Serco Group	FTSE 250	143.90	1,648.4
MYI	Murray International Trust	FTSE 250	262.60	1,644.2
GNS	Genus	FTSE 250	2,496.00	1,641.7
FEVR	Fevertree Drinks	FTSE AIM	1,407.00	1,640.1
RDW	Redrow	FTSE 250	491.00	1,624.1
ASHM	Ashmore Group	FTSE 250	227.40	1,620.8
WOSG	Watches Of Switzerland Group	FTSE 250	669.50	1,603.9
DATA	GlobalData		1,340.00	1,585.3
KNOS	Kainos Group Ltd	FTSE 250	1,266.00	1,577.4
MRC	Mercantile Investment Trust	FTSE 250	199.00	1,572.3
OXIG	Oxford Instruments	FTSE 250	2,720.00	1,569.6
BAB	Babcock International Group	FTSE 250	310.40	1,569.4
TEM	Templeton Emerging Markets Investment Trust	FTSE 250	146.40	1,545.9
DOCS	Dr. Martens	FTSE 250	153.10	1,532.2
BHMG	BH Macro Ltd	FTSE 250	409.00	1,530.8
ITH	Ithaca Energy	FTSE 250	152.00	1,527.8
KWS	Keywords Studios	FTSE AIM	1,941.00	1,526.7
WTAN	Witan Investment Trust	FTSE 250	228.50	1,525.6
LRE	Lancashire Holdings Ltd	FTSE 250	622.00	1,517.7
CVSG	CVS Group	FTSE AIM	2,108.00	1,507.6
CCL	Carnival	FTSE 250	796.40	1,487.7
IWG	IWG	FTSE 250	144.50	1,454.7
PAGE	PageGroup	FTSE 250	440.60	1,447.9
BGEO	Bank of Georgia Group	FTSE 250	3,070.00	1,447.3
PIN	Pantheon International	FTSE 250	271.50	1,442.1
FEV	Fidelity European Trust	FTSE 250	351.50	1,436.7
AGR	Assura	FTSE 250	47.78	1,414.6
SEQI	Sequoia Economic Infrastructure Income Fund Ltd	FTSE 250	80.00	1,391.4
CBG	Close Brothers Group	FTSE 250	911.00	1,369.9
JAM	JPMorgan American Investment Trust	FTSE 250	736.00	1,359.3
MONY	Moneysupermarket.com Group	FTSE 250	251.40	1,349.7
VCT	Victrex	FTSE 250	1,547.00	1,346.0
PHP	Primary Health Properties	FTSE 250	99.40	1,328.5
PLUS	Plus500 Ltd	FTSE 250	1,447.00	1,327.0
AJB	AJ Bell	FTSE 250	319.20	1,315.4
SVS	Savills	FTSE 250	907.50	1,310.0
SEPL	SEPLAT Petroleum Development Co		116.00	1,298.6
TBCG	TBC Bank Group	FTSE 250	2,355.00	1,295.0
HMSO	Hammerson	FTSE 250	25.30	1,263.6
FOUR	4imprint Group	FTSE 250	4,485.00	1,259.6
GPE	Great Portland Estates	FTSE 250	492.40	1,250.0
BNKR	Bankers Investment Trust	FTSE 250	97.80	1,249.9
RAT	Rathbone Brothers	FTSE 250	1,966.00	1,246.9
BOY	Bodycote	FTSE 250	649.00	1,242.6
IEM	Impax Environmental Markets	FTSE 250	407.50	1,236.5
CGT	Capital Gearing Trust	FTSE 250	4,685.00	1,235.7
TRN	Trainline	FTSE 250	254.60	1,223.8
TEP	Telecom plus	FTSE 250	1,540.00	1,223.5
KAPE	Kape Technologies	FTSE AIM	285.00	1,221.9
MTO	Mitie Group	FTSE 250	89.00	1,215.0
